epoch,accuracy,loss,negative,positive,pred_positive,roc_auc,sensitivity,specificity,true_negative,true_positive,val_accuracy,val_loss,val_negative,val_positive,val_pred_positive,val_roc_auc,val_sensitivity,val_speci,val_true_negative,val_true_positive
98,0.27362204,4.02564621,478,30,385,0.55177826,0.76666665,0.24267782,116,23,0.634703219,3.875694036,209,10,76,0.377511948,0.300000012,0.650717676,136,3
99,0.23228346,3.986564636,478,30,412,0.6468619,0.8666667,0.19246861,92,26,0.730593622,3.855232239,209,10,55,0.378110051,0.300000012,0.751196146,157,3
100,0.2933071,3.987008333,478,30,381,0.61910737,0.8666667,0.25732216,123,26,0.79908675,3.834895134,209,10,38,0.378947377,0.200000003,0.827751219,173,2
101,0.26771653,3.981343746,478,30,392,0.527371,0.8333333,0.23221758,111,25,0.831050217,3.814746857,209,10,31,0.378947377,0.200000003,0.861244023,180,2
102,0.3031496,3.906702042,478,30,374,0.652371,0.8333333,0.26987448,129,25,0.863013685,3.794751167,209,10,24,0.377511948,0.200000003,0.894736826,187,2
103,0.3051181,3.927800894,478,30,361,0.5398187,0.6333333,0.28451884,136,19,0.885844767,3.774908066,209,10,19,0.374162674,0.200000003,0.918660283,192,2
104,0.3011811,3.90534091,478,30,371,0.52684796,0.76666665,0.27196652,130,23,0.89041096,3.75518918,209,10,18,0.372727275,0.200000003,0.923444986,193,2
105,0.36220473,3.902868032,478,30,342,0.6087866,0.8,0.33472803,160,24,0.89041096,3.735565424,209,10,18,0.383253574,0.200000003,0.923444986,193,2
106,0.37598425,3.849455118,478,30,337,0.67426777,0.8333333,0.34728032,166,25,0.894977152,3.716095924,209,10,17,0.392822981,0.200000003,0.92822969,194,2
107,0.35236222,3.804498434,478,30,347,0.6556485,0.8,0.32426777,155,24,0.894977152,3.696786642,209,10,17,0.398564607,0.200000003,0.92822969,194,2
108,0.43110237,3.824907064,478,30,307,0.62587166,0.8,0.4079498,195,24,0.899543405,3.677597761,209,10,16,0.405741632,0.200000003,0.933014333,195,2
109,0.35826772,3.780109406,478,30,336,0.5737099,0.6666667,0.33891213,162,20,0.904109597,3.658553362,209,10,15,0.415311009,0.200000003,0.937799037,196,2
110,0.36220473,3.818248034,478,30,336,0.57322174,0.7,0.3410042,163,21,0.904109597,3.639626265,209,10,15,0.421052635,0.200000003,0.937799037,196,2
111,0.36811024,3.75008297,478,30,349,0.68525106,0.96666664,0.33054394,158,29,0.904109597,3.620837212,209,10,15,0.430143535,0.200000003,0.937799037,196,2
112,0.35433072,3.75143528,478,30,334,0.5254184,0.6,0.33891213,162,18,0.904109597,3.60217905,209,10,15,0.436842114,0.200000003,0.937799037,196,2
113,0.39173228,3.725065947,478,30,333,0.6711297,0.9,0.35983264,172,27,0.904109597,3.583693266,209,10,15,0.44641149,0.200000003,0.937799037,196,2
114,0.4035433,3.719822407,478,30,317,0.5914226,0.73333335,0.3828452,183,22,0.904109597,3.565331221,209,10,15,0.455023915,0.200000003,0.937799037,196,2
